day,operate,price,investment,total_balance,sentiment
785,买入,151.46255493164062,151.46255493164062,9978.957092285156,0.0
786,卖出,154.29400634765625,154.29400634765625,10327.185424804688,0.0
787,卖出,153.4524688720703,153.4524688720703,10314.562362670898,0.0
788,买入,155.82850646972656,155.82850646972656,10036.169876098633,0.0
789,卖出,157.6897430419922,157.6897430419922,10375.74543762207,0.0
790,买入,156.25424194335938,156.25424194335938,10043.139938354492,0.0
791,买入,157.34324645996094,157.34324645996094,10057.296997070312,0.0
792,买入,158.6500701904297,158.6500701904297,10075.592529296875,0.0
793,买入,156.69970703125,156.69970703125,10046.33708190918,0.0
794,买入,156.07598876953125,156.07598876953125,10036.35758972168,0.0
795,买入,159.16488647460938,159.16488647460938,10088.868850708008,0.0
796,买入,160.73899841308594,160.73899841308594,10117.202865600586,0.0
797,卖出,163.25363159179688,163.25363159179688,10491.488159179688,0.0
798,卖出,164.51095581054688,164.51095581054688,10516.634643554688,0.0
799,买入,163.97634887695312,163.97634887695312,10178.5244140625,0.0
800,买入,162.125,162.125,10145.200134277344,0.0
801,买入,163.0160369873047,163.0160369873047,10162.129837036133,0.0
802,买入,160.41226196289062,160.41226196289062,10110.054336547852,0.0
803,买入,159.19456481933594,159.19456481933594,10084.482696533203,0.0
804,卖出,158.5015411376953,158.5015411376953,10386.2392578125,0.0
805,卖出,163.9070281982422,163.9070281982422,10510.565460205078,0.0
806,卖出,163.56053161621094,163.56053161621094,10502.94253540039,0.0
807,卖出,163.58033752441406,163.58033752441406,10503.358459472656,0.0
808,卖出,164.80796813964844,164.80796813964844,10527.911071777344,0.0
809,卖出,165.95640563964844,165.95640563964844,10549.731384277344,0.0
810,卖出,164.98614501953125,164.98614501953125,10532.266693115234,0.0
811,买入,163.37245178222656,163.37245178222656,10178.089004516602,0.0
812,买入,163.67933654785156,163.67933654785156,10182.999160766602,0.0
813,买入,162.13490295410156,162.13490295410156,10156.743789672852,0.0
814,卖出,162.125,162.125,10480.815536499023,0.0
815,卖出,166.7285919189453,166.7285919189453,10568.283782958984,0.0
816,卖出,167.98590087890625,167.98590087890625,10590.915344238281,0.0
817,卖出,167.89678955078125,167.89678955078125,10589.400451660156,0.0
818,卖出,166.8572540283203,166.8572540283203,10572.767883300781,0.0
819,买入,165.77816772460938,165.77816772460938,10225.025253295898,0.0
820,买入,164.13475036621094,164.13475036621094,10202.01741027832,0.0
821,卖出,171.83706665039062,171.83706665039062,10661.226287841797,0.0
822,卖出,171.7677459716797,171.7677459716797,10660.117156982422,0.0
823,卖出,170.05506896972656,170.05506896972656,10634.427001953125,0.0
824,卖出,171.82717895507812,171.82717895507812,10659.236541748047,0.0
825,卖出,172.01527404785156,172.01527404785156,10661.681777954102,0.0
826,卖出,171.0833740234375,171.0833740234375,10650.498977661133,0.0
827,卖出,170.58766174316406,170.58766174316406,10645.046142578125,0.0
828,买入,170.58766174316406,170.58766174316406,10303.870819091797,0.0
829,卖出,171.2023162841797,171.2023162841797,10651.807342529297,0.0
830,卖出,173.54200744628906,173.54200744628906,10675.20425415039,0.0
831,卖出,173.65103149414062,173.65103149414062,10676.185470581055,0.0
832,买入,172.69932556152344,172.69932556152344,10323.17317199707,0.0
833,买入,170.0820770263672,170.0820770263672,10304.852432250977,0.0
834,卖出,170.35964965820312,170.35964965820312,10647.79231262207,0.0
835,卖出,171.499755859375,171.499755859375,10658.053268432617,0.0
836,卖出,173.91873168945312,173.91873168945312,10677.405075073242,0.0
837,买入,175.7726287841797,175.7726287841797,10338.837097167969,0.0
838,卖出,175.72305297851562,175.72305297851562,10689.985748291016,0.0
839,卖出,178.53858947753906,178.53858947753906,10709.69450378418,0.0
840,卖出,179.39117431640625,179.39117431640625,10714.810012817383,0.0
841,买入,178.032958984375,178.032958984375,10351.953018188477,0.0
842,买入,177.66616821289062,177.66616821289062,10350.485855102539,0.0
843,买入,176.2881622314453,176.2881622314453,10343.595825195312,0.0
844,买入,179.01446533203125,179.01446533203125,10359.953643798828,0.0
845,买入,179.40109252929688,179.40109252929688,10362.660034179688,0.0
846,买入,182.2067108154297,182.2067108154297,10385.10498046875,0.0
847,买入,181.73085021972656,181.73085021972656,10380.822235107422,0.0
848,买入,182.3653106689453,182.3653106689453,10387.16683959961,0.0
849,买入,184.40756225585935,184.40756225585935,10409.631607055664,0.0
850,卖出,183.3269805908203,183.3269805908203,10763.318588256836,0.0
851,买入,183.41619873046875,183.41619873046875,10397.646026611328,0.0
852,买入,182.3752593994141,182.3752593994141,10385.154754638672,0.0
853,买入,185.38905334472656,185.38905334472656,10424.334075927734,0.0
854,买入,185.07180786132807,185.07180786132807,10419.892639160156,0.0
855,买入,183.6739654541016,183.6739654541016,10398.925003051758,0.0
856,买入,186.4399261474609,186.4399261474609,10443.180374145508,0.0
857,卖出,187.61968994140625,187.61968994140625,10838.47573852539,0.0
858,卖出,187.9567413330078,187.9567413330078,10844.542663574219,0.0
859,卖出,192.29901123046875,192.29901123046875,10918.361251831055,0.0
860,买入,190.8020172119141,190.8020172119141,10512.805313110352,0.0
861,买入,189.6817626953125,189.6817626953125,10496.001495361328,0.0
862,买入,190.1576385498047,190.1576385498047,10503.615509033203,0.0
863,买入,189.03733825683597,189.03733825683597,10484.570404052734,0.0
864,买入,186.98516845703125,186.98516845703125,10447.63134765625,0.0
865,卖出,186.45974731445312,186.45974731445312,10810.567840576172,0.0
866,卖出,188.13519287109372,188.13519287109372,10844.076751708984,0.0
867,卖出,188.8985595703125,188.8985595703125,10858.58071899414,0.0
868,卖出,189.0472869873047,189.0472869873047,10861.2578125,0.0
869,卖出,192.31884765625,192.31884765625,10916.87434387207,0.0
870,卖出,192.0610809326172,192.0610809326172,10912.750076293945,0.0
871,卖出,193.41925048828125,193.41925048828125,10933.122619628906,0.0
872,卖出,191.46624755859372,191.46624755859372,10905.780578613281,0.0
873,买入,190.2864990234375,190.2864990234375,10509.870849609375,0.0
874,买入,191.08950805664065,191.08950805664065,10519.506958007812,0.0
875,买入,191.9520263671875,191.9520263671875,10530.719696044922,0.0
876,买入,192.82444763183597,192.82444763183597,10542.93359375,0.0
877,卖出,191.55548095703125,191.55548095703125,10907.010055541992,0.0
878,卖出,194.14300537109372,194.14300537109372,10948.410446166992,0.0
879,卖出,194.7576446533203,194.7576446533203,10957.63003540039,0.0
880,卖出,193.9248962402344,193.9248962402344,10945.971557617188,0.0
881,买入,190.9209899902344,190.9209899902344,10525.078796386719,0.0
882,买入,189.52313232421875,189.52313232421875,10508.304504394531,0.0
883,卖出,180.42222595214844,180.42222595214844,10750.837173461914,0.0
884,卖出,177.30929565429688,177.30929565429688,10707.256149291992,0.0
885,卖出,178.25111389160156,178.25111389160156,10719.499786376953,0.0
886,卖出,176.6549530029297,176.6549530029297,10700.34585571289,0.0
887,卖出,176.43682861328125,176.43682861328125,10697.946487426758,0.0
888,卖出,176.49639892578125,176.49639892578125,10698.542190551758,0.0
889,卖出,178.15428161621094,178.15428161621094,10713.463134765625,0.0
890,卖出,176.1588897705078,176.1588897705078,10697.5,0.0
891,卖出,175.28530883789062,175.28530883789062,10691.38493347168,0.0
892,卖出,172.73399353027344,172.73399353027344,10676.077041625977,0.0
893,卖出,173.22044372558594,173.22044372558594,10678.509292602539,0.0
894,卖出,174.56060791015625,174.56060791015625,10683.86994934082,0.0
895,卖出,175.9404754638672,175.9404754638672,10688.009552001953,0.0
896,卖出,179.80218505859375,179.80218505859375,10695.732971191406,0.0
898,买入,177.31045532226562,177.31045532226562,10338.620330810547,0.0
899,卖出,178.8789520263672,178.8789520263672,10696.378234863281,0.0
900,买入,182.7803497314453,182.7803497314453,10334.718933105469,0.0
901,买入,186.28466796875,186.28466796875,10334.718933105469,0.0
902,卖出,186.5030517578125,186.5030517578125,10707.943420410156,0.0
903,买入,188.0814971923828,188.0814971923828,10334.937316894531,0.0
904,卖出,188.31976318359372,188.31976318359372,10711.81510925293,0.0
905,卖出,181.5791473388672,181.5791473388672,10698.333877563477,0.0
906,买入,176.26808166503906,176.26808166503906,10340.48664855957,0.0
907,买入,176.88357543945312,176.88357543945312,10340.48664855957,0.0
908,卖出,178.05499267578125,178.05499267578125,10697.768051147461,0.0
909,卖出,175.0172576904297,175.0172576904297,10691.692581176758,0.0
915,买入,174.21315002441406,174.21315002441406,10342.462173461914,0.0
916,卖出,172.66448974609375,172.66448974609375,10687.791152954102,0.0
918,买入,174.7988739013672,174.7988739013672,10340.32778930664,0.0
919,卖出,170.70884704589844,170.70884704589844,10681.745483398438,0.0
929,买入,177.092041015625,177.092041015625,10333.944595336914,0.0
930,买入,178.4917755126953,178.4917755126953,10333.944595336914,0.0
931,买入,179.3951873779297,179.3951873779297,10334.848007202148,0.0
932,买入,177.5487060546875,177.5487060546875,10331.155044555664,0.0
933,买入,177.41964721679688,177.41964721679688,10330.767868041992,0.0
934,买入,175.86105346679688,175.86105346679688,10324.533493041992,0.0
935,买入,174.56060791015625,174.56060791015625,10318.031265258789,0.0
936,卖出,174.18336486816406,174.18336486816406,10664.134536743164,0.0
937,卖出,171.6221466064453,171.6221466064453,10646.206008911133,0.0
938,卖出,171.7412567138672,171.7412567138672,10646.920669555664,0.0
939,卖出,172.17808532714844,172.17808532714844,10649.10481262207,0.0
